==PROF== Connected to process 69874 (/tmp/claude-1005/-home-michalis/32d9a071-8eab-4bd7-9e82-2ba5652d1717/scratchpad/taskB2/geom)
n=16777216 block=1024 executions=2 sampled-mismatches=0 PASSED
==PROF== Disconnected from process 69874
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","91.29"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","113,312"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/1","4"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,097,152"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","1,024"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","50.80"
"0","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","7,864,320"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","91.47"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","ns","112,864"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","l1tex__average_t_sectors_per_request_pipe_lsu_mem_global_op_ld.ratio","sector/1","4"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","2,097,152"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","1,024"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","16"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","50.87"
"1","69874","geom","127.0.0.1","elementwise(const float *, float *, int)","1","7","(1024, 1, 1)","(16384, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","7,864,320"
